ticker,Return,marketCap,beta,Volatility,cluster,Risk_Segment,sector
APH,-0.0004365706160316802,121214017536,1.139,0.015792866635406747,0,Aggressive / Underperforming,Technology
ADI,0.0011135051077748354,114869010432,1.018,0.015100696548743936,1,Low-Risk / Defensive / Stable,Technology
AON,-0.0018177708223906758,76727803904,0.839,0.008920414220534042,1,Low-Risk / Defensive / Stable,Financial Services
APA,0.0010410681987444213,6968638464,1.25,0.0193026217339237,0,Aggressive / Underperforming,Energy
APO,0.0004046843540193918,86644211712,1.572,0.01935248396627303,0,Aggressive / Underperforming,Financial Services
AAPL,0.003567969990374382,3193871269888,1.199,0.009181502364515691,2,Blue-Chip / Moderate Risk,Technology
AMAT,-0.0011787315307065652,150568681472,1.688,0.019143410682943004,0,Aggressive / Underperforming,Technology
ACGL,-0.0015790397470321997,33240768512,0.491,0.012467231870031919,1,Low-Risk / Defensive / Stable,Financial Services
ADM,-0.001503947959163288,27030114304,0.673,0.012717466593302997,1,Low-Risk / Defensive / Stable,Consumer Defensive
ANET,0.005542775114249876,141046104064,1.404,0.022687142561631277,3,Speculative / High-Risk High-Reward,Technology
AJG,-0.0011708727174982263,79338283008,0.713,0.012218639791942675,1,Low-Risk / Defensive / Stable,Financial Services
AIZ,-0.000745024502193162,9501358080,0.585,0.01157226159694407,1,Low-Risk / Defensive / Stable,Financial Services
T,0.000132013328057161,196724211712,0.609,0.013849845339557392,1,Low-Risk / Defensive / Stable,Communication Services
ATO,-0.0011248467632017844,24932786176,0.692,0.010876649167009181,1,Low-Risk / Defensive / Stable,Utilities
ADSK,-0.00040131264091435893,64358612992,1.444,0.020754298736560966,0,Aggressive / Underperforming,Technology
ADP,-0.0003821947398554495,123374206976,0.77,0.009400398537883154,1,Low-Risk / Defensive / Stable,Technology
AZO,0.0009982468909312486,62157824000,0.389,0.012688108599690592,1,Low-Risk / Defensive / Stable,Consumer Cyclical
AVB,-0.0011418306846925031,28906397696,0.856,0.010503670650115857,1,Low-Risk / Defensive / Stable,Real Estate
AVY,-0.0016933650708193,14071999488,0.6234742707746943,0.010282770417649858,1,Low-Risk / Defensive / Stable,Consumer Cyclical
AXON,-0.000280926225054303,54893375488,1.288,0.023462710734554124,0,Aggressive / Underperforming,Industrials
BKR,-0.0015248012860002967,43682168832,0.894,0.014380191320466144,1,Low-Risk / Defensive / Stable,Energy
BALL,-0.003221492384082533,16663110656,1.085,0.015471008628118451,0,Aggressive / Underperforming,Consumer Cyclical
BAC,-0.0018738121752448205,357618810880,1.31,0.010511433988750011,0,Aggressive / Underperforming,Financial Services
BAX,-0.002885684746309414,14620355584,0.609,0.015554461735174628,1,Low-Risk / Defensive / Stable,Healthcare
BDX,0.0004116107776690311,52067893248,0.277,0.009216842343819105,1,Low-Risk / Defensive / Stable,Healthcare
BRK-B,-0.0012272742004894646,1042908905472,0.818,0.007643598429024973,1,Low-Risk / Defensive / Stable,Financial Services
BBY,-0.002208227675824446,14542153728,1.261,0.020210222046899838,0,Aggressive / Underperforming,Consumer Cyclical
TECH,0.002130618923217214,8714678272,1.384,0.019294999208886186,0,Aggressive / Underperforming,Healthcare
BIIB,-0.0015065483586922635,19129231360,0.141,0.013224687747297074,1,Low-Risk / Defensive / Stable,Healthcare
BLK,-0.0005514207613252391,172276154368,1.424,0.01068737216642955,0,Aggressive / Underperforming,Financial Services
BX,-0.001694210865121062,207559376896,1.64,0.020400045444439015,0,Aggressive / Underperforming,Financial Services
XYZ,0.00027172253888281815,48796037120,2.742,0.03254510312736082,0,Aggressive / Underperforming,Technology
BK,-0.0006274863699204144,69635497984,1.066,0.010789835374217543,1,Low-Risk / Defensive / Stable,Financial Services
BKNG,9.81037293025476e-06,187472314368,1.406,0.014921450182509009,0,Aggressive / Underperforming,Consumer Cyclical
BSX,0.000881075953101558,158057037824,0.681,0.01191059922255109,1,Low-Risk / Defensive / Stable,Healthcare
BMY,0.00020098328895003023,99790143488,0.371,0.013581621759987074,1,Low-Risk / Defensive / Stable,Healthcare
AVGO,0.011458263034592887,1312033079296,1.138,0.05226431221952584,3,Speculative / High-Risk High-Reward,Technology
BR,-0.00012365573118326847,28691511296,0.955,0.009404387163012192,1,Low-Risk / Defensive / Stable,Technology
BRO,-0.0025255330235634745,33918377984,0.82,0.01130485993858205,1,Low-Risk / Defensive / Stable,Financial Services
BF-B,-0.0022202539728213744,14602408960,0.55,0.024987704590464968,1,Low-Risk / Defensive / Stable,Consumer Defensive
BLDR,-0.006990622812378821,14868135936,1.695,0.0219247172174909,0,Aggressive / Underperforming,Industrials
BG,-0.004843102412237532,15621326848,0.653,0.012931678901149006,1,Low-Risk / Defensive / Stable,Consumer Defensive
BXP,-0.0013753847922017754,12617682944,1.174,0.01954323279740538,0,Aggressive / Underperforming,Real Estate
CHRW,-0.0019506106998097583,11928903680,0.897,0.013123969131249058,1,Low-Risk / Defensive / Stable,Industrials
CDNS,0.0012144737347539447,88555700224,0.988,0.01918487309269104,0,Aggressive / Underperforming,Technology
CZR,-0.0034281322039060786,6223442432,2.298,0.019966759893464015,0,Aggressive / Underperforming,Consumer Cyclical
CPT,-0.0007638314029270666,12284233728,0.78,0.011638115485350192,1,Low-Risk / Defensive / Stable,Real Estate
CPB,-0.0009957990457947821,9929219072,0.08,0.01606353855052622,1,Low-Risk / Defensive / Stable,Consumer Defensive
COF,-0.0012510840765113933,141429702656,1.149,0.013920041463322793,0,Aggressive / Underperforming,Financial Services
CAH,-0.00014343085892289865,37333495808,0.689,0.011031709339055035,1,Low-Risk / Defensive / Stable,Healthcare
KMX,0.0015564933366270287,9474795520,1.379,0.019027054301401117,0,Aggressive / Underperforming,Consumer Cyclical
CARR,-0.002816610051852664,68072751104,1.312,0.015283992447948438,0,Aggressive / Underperforming,Industrials
CAT,-0.0019027776920555169,200401223680,1.38,0.012474271917441852,0,Aggressive / Underperforming,Industrials
CBOE,-0.0008937468416437085,25379289088,0.424,0.013647064793247194,1,Low-Risk / Defensive / Stable,Financial Services
CBRE,0.00027021602119192944,42936061952,1.304,0.016580274077906448,0,Aggressive / Underperforming,Real Estate
CDW,-0.0005639716473738308,23985104896,0.927,0.012620358521158188,1,Low-Risk / Defensive / Stable,Technology
COR,-0.002232042591093934,56615702528,0.568,0.008698786349678776,1,Low-Risk / Defensive / Stable,Healthcare
CNC,0.0017625266068881853,14507616256,0.442,0.017207437334580914,1,Low-Risk / Defensive / Stable,Healthcare
CNP,0.0011491931437999953,24278218752,0.562,0.010085253936225013,1,Low-Risk / Defensive / Stable,Utilities
CF,-0.0006767826302313023,15089611776,0.941,0.015835228286417546,1,Low-Risk / Defensive / Stable,Basic Materials
CRL,-0.0005622233678684122,8263470592,1.498,0.018532201952411852,0,Aggressive / Underperforming,Healthcare
SCHW,-0.0028598156655297363,172540739584,0.926,0.012667610315651294,1,Low-Risk / Defensive / Stable,Financial Services
CHTR,-0.004266131643144241,54705848320,1.078,0.022638881049557903,0,Aggressive / Underperforming,Communication Services
CVX,-0.003274361296604877,309274607616,0.803,0.012147208714212822,1,Low-Risk / Defensive / Stable,Energy
CMG,0.0009361853962241441,70756343808,1.079,0.01719246585241559,0,Aggressive / Underperforming,Consumer Cyclical
CB,-0.0012721068134063616,107316314112,0.537,0.008496073840398717,1,Low-Risk / Defensive / Stable,Financial Services
CHD,-0.0013445563162000108,23933198336,0.501,0.007955995315481723,1,Low-Risk / Defensive / Stable,Consumer Defensive
CI,-0.004932080668574482,80885563392,0.454,0.0213888477771991,1,Low-Risk / Defensive / Stable,Healthcare
CINF,-0.0016341264579660324,23508121600,0.768,0.013325154133263016,1,Low-Risk / Defensive / Stable,Financial Services
CTAS,-0.005457413084072089,88513568768,1.042,0.02577914873786882,0,Aggressive / Underperforming,Industrials
CSCO,0.0009944171324961977,271477800960,0.899,0.008129081346989364,1,Low-Risk / Defensive / Stable,Technology
C,0.0007809681274864923,174913110016,1.329,0.011427339539383671,0,Aggressive / Underperforming,Financial Services
CFG,-0.002224522430842473,21465341952,1.089,0.014112021808601029,0,Aggressive / Underperforming,Financial Services
CLX,-0.001056490975668602,16204071936,0.504,0.008111338468163233,1,Low-Risk / Defensive / Stable,Consumer Defensive
CME,0.001991499071410533,100178001920,0.455,0.010739157728928101,1,Low-Risk / Defensive / Stable,Financial Services
CMS,-0.0007809795262555183,21842032640,0.37,0.007789970973858063,1,Low-Risk / Defensive / Stable,Utilities
KO,0.0005314340374606122,297016131584,0.11577018660811034,0.008518487651517253,1,Low-Risk / Defensive / Stable,Consumer Defensive
CTSH,3.9440046663033296e-05,38148784128,0.952,0.012043072382316767,1,Low-Risk / Defensive / Stable,Technology
COIN,-0.006948570027991898,99245801472,3.712,0.04690482652281875,0,Aggressive / Underperforming,Financial Services
CL,-0.0009577635304943735,71746478080,0.371,0.008746157306819498,1,Low-Risk / Defensive / Stable,Consumer Defensive
CMCSA,-0.004442161521953917,133535784960,0.947,0.02160431814380551,0,Aggressive / Underperforming,Communication Services
CAG,0.0012857421222090876,9450984448,0.107,0.01120073854755739,1,Low-Risk / Defensive / Stable,Consumer Defensive
COP,-0.004150547216571789,119790084096,0.623,0.014272906550753533,1,Low-Risk / Defensive / Stable,Energy
ED,-0.0025901271504010772,37045633024,0.242,0.010140468747443211,1,Low-Risk / Defensive / Stable,Utilities
STZ,-0.002401565262390781,30986651648,0.664,0.012143385272956865,1,Low-Risk / Defensive / Stable,Consumer Defensive
CEG,-8.482139765985946e-05,102081224704,1.141,0.027352667523096005,0,Aggressive / Underperforming,Utilities
CPRT,0.0004208374538139222,45141409792,1.071,0.02178843755160252,0,Aggressive / Underperforming,Industrials
GLW,0.0007304485157180002,47876730880,1.097,0.010919668595923353,1,Low-Risk / Defensive / Stable,Technology
CPAY,-0.0023702090241734955,23985379328,0.957,0.012197562354238006,1,Low-Risk / Defensive / Stable,Technology
CTVA,0.0011313407022652093,50528329728,0.755,0.017163958065312335,1,Low-Risk / Defensive / Stable,Basic Materials
CSGP,0.0001586843035136396,38012018688,0.89,0.022096928821655752,0,Aggressive / Underperforming,Real Estate
COST,0.000336382949991506,418864005120,0.961,0.01082346671000843,1,Low-Risk / Defensive / Stable,Consumer Defensive
CTRA,-5.21651583848601e-05,17913735168,0.331,0.017314685081499533,1,Low-Risk / Defensive / Stable,Energy
CRWD,0.0005312553110364894,115056689152,1.157,0.028509490726015458,0,Aggressive / Underperforming,Technology
CCI,-0.0039425155740949345,47909199872,0.898,0.008625358207677687,1,Low-Risk / Defensive / Stable,Real Estate
CSX,-0.0027210549159555047,65955893248,1.23,0.011958126521406456,0,Aggressive / Underperforming,Industrials
CMI,-0.0010786091950094813,49787416576,1.019,0.010974339001678156,1,Low-Risk / Defensive / Stable,Industrials
CVS,-0.005655177620957925,78222516224,0.576,0.027505539275965822,1,Low-Risk / Defensive / Stable,Healthcare
DHR,-9.873329543604491e-05,142716321792,1.0489051957217486,0.01133900647900214,1,Low-Risk / Defensive / Stable,Healthcare
DRI,0.0037591320116309615,24525643776,0.737,0.029608947971667663,3,Speculative / High-Risk High-Reward,Consumer Cyclical
DDOG,0.0041693063522626715,49449365504,1.026,0.03032021710569097,3,Speculative / High-Risk High-Reward,Technology
DVA,-0.0023201132379685047,11355444224,1.106,0.01434371170825706,0,Aggressive / Underperforming,Healthcare
DAY,-0.0008696137247510667,9421787136,1.087,0.018052584814228348,0,Aggressive / Underperforming,Technology
DECK,0.004836629439212663,16147307520,0.991,0.0189558549279488,3,Speculative / High-Risk High-Reward,Consumer Cyclical
DE,0.002133730566286034,138793418752,1.085,0.02004399950161184,0,Aggressive / Underperforming,Industrials
DELL,-0.004435133578947818,85704368128,1.098,0.03252579896811884,0,Aggressive / Underperforming,Technology
DAL,-0.0019110944503567917,36865441792,1.491,0.016809826567746787,0,Aggressive / Underperforming,Industrials
DVN,-0.005170663622350306,21404401664,1.06,0.017821738088617,0,Aggressive / Underperforming,Energy
DXCM,0.0008200866890512116,33599649792,1.448,0.021772036354337915,0,Aggressive / Underperforming,Healthcare
FANG,-0.0025019339732227845,41943638016,1.024,0.016806155409098637,0,Aggressive / Underperforming,Energy
DLR,-0.00021895010106985884,61164879872,0.968,0.013356303635401651,1,Low-Risk / Defensive / Stable,Real Estate
DG,-2.6368572608692147e-05,23739060224,0.315,0.019025429379313046,1,Low-Risk / Defensive / Stable,Consumer Defensive
DLTR,0.005156155426098019,23764213760,0.862,0.02211685439134764,3,Speculative / High-Risk High-Reward,Consumer Defensive
D,-0.0018800953145444198,49568477184,0.551,0.00921136910403958,1,Low-Risk / Defensive / Stable,Utilities
DPZ,-0.0007282694787048903,16205846528,1.093,0.015412596843752678,0,Aggressive / Underperforming,Consumer Cyclical
DASH,-0.00033216810298800076,101579915264,1.703,0.018452908244881272,0,Aggressive / Underperforming,Consumer Cyclical
DOV,-0.0022463696745152213,26101860352,1.259,0.010250806060891994,0,Aggressive / Underperforming,Industrials
DOW,-0.0025722920762613114,21771350016,0.857,0.014083103595994264,1,Low-Risk / Defensive / Stable,Basic Materials
DHI,-0.004827667048937775,44602593280,0.5408865069306934,0.01791000732638702,1,Low-Risk / Defensive / Stable,Consumer Cyclical
DTE,0.00048363278907338823,28770017280,0.438,0.008603156514628054,1,Low-Risk / Defensive / Stable,Utilities
DUK,-0.001343154401061618,92656812032,0.353,0.009321557615533025,1,Low-Risk / Defensive / Stable,Utilities
DD,-0.0022110511476493484,32161648640,1.024,0.009530267235101628,1,Low-Risk / Defensive / Stable,Basic Materials
EMN,-0.003277001786929984,9233336320,1.235,0.014032197241425183,0,Aggressive / Underperforming,Basic Materials
ETN,-0.0026183716334341853,147980812288,1.156,0.013360825839218202,0,Aggressive / Underperforming,Industrials
EBAY,0.0004212175426755242,37434359808,1.249,0.01302390291081709,0,Aggressive / Underperforming,Consumer Cyclical
ECL,-0.001430980348619304,76436520960,1.035,0.009506720096424871,1,Low-Risk / Defensive / Stable,Basic Materials
EIX,-0.001565848982274918,20061595648,0.754,0.010872461366083825,1,Low-Risk / Defensive / Stable,Utilities
EW,0.0029499439365160514,45127139328,1.109,0.016444212868885113,0,Aggressive / Underperforming,Healthcare
EA,-0.0032275463093198874,38703427584,0.733,0.011753531752117852,1,Low-Risk / Defensive / Stable,Communication Services
ELV,-0.0026193463471433495,65590976512,0.612,0.013627761396126016,1,Low-Risk / Defensive / Stable,Healthcare
EMR,-0.0007578807966883711,82214993920,1.283,0.012994223277885677,0,Aggressive / Underperforming,Industrials
ENPH,0.004771521408565363,4767406080,1.666,0.03681890640731746,3,Speculative / High-Risk High-Reward,Technology
ETR,0.0005586005775008065,39297564672,0.573,0.010041911655258924,1,Low-Risk / Defensive / Stable,Utilities
EOG,-0.0031082133351195843,64812208128,0.776,0.012012939598564731,1,Low-Risk / Defensive / Stable,Energy
EPAM,-0.00020890491518005822,9692709888,1.701,0.01777859489341685,0,Aggressive / Underperforming,Technology
EQT,0.002553225311941742,31254261760,0.654,0.022428498880508144,1,Low-Risk / Defensive / Stable,Energy
EFX,0.0009233848668594515,30330380288,1.0908744801814794,0.01846094607371884,0,Aggressive / Underperforming,Industrials
EQIX,0.0016493809721500636,77774913536,0.915,0.013323178406784325,1,Low-Risk / Defensive / Stable,Real Estate
EQR,-0.0008393920221087314,26672420864,0.897,0.012251353269104086,1,Low-Risk / Defensive / Stable,Real Estate
ERIE,0.0005898156506150223,19036921856,0.34,0.016098946963562233,1,Low-Risk / Defensive / Stable,Financial Services
ESS,-0.0018533425246039389,20131409920,0.791,0.011524368245360616,1,Low-Risk / Defensive / Stable,Real Estate
EL,0.005566526478323747,32116860928,1.167,0.02038763416927221,3,Speculative / High-Risk High-Reward,Consumer Defensive
EG,-0.0006334115693141654,14284003328,0.504,0.010644789919228133,1,Low-Risk / Defensive / Stable,Financial Services
EVRG,-0.0008281492204206868,15978670080,0.476,0.006745663071523957,1,Low-Risk / Defensive / Stable,Utilities
ES,-0.0020616615798259227,24348440576,0.636,0.013589953239596029,1,Low-Risk / Defensive / Stable,Utilities
EXC,-0.0012770316744011383,44222898176,0.467,0.010104157925399808,1,Low-Risk / Defensive / Stable,Utilities
EXE,0.001562947829184843,23386195968,0.464,0.01391692669664661,1,Low-Risk / Defensive / Stable,Energy
EXPE,0.00090301191659346,24249602048,1.577,0.014719913853286259,0,Aggressive / Underperforming,Consumer Cyclical
EXPD,-0.0025116301045723997,15870903296,1.057,0.008424573692764743,1,Low-Risk / Defensive / Stable,Industrials
EXR,-0.002833908493120225,33307865088,1.108,0.015429932124723131,0,Aggressive / Underperforming,Real Estate
XOM,-0.0034527767821722457,473112281088,0.469,0.010346285748577228,1,Low-Risk / Defensive / Stable,Energy
FFIV,0.0017847188181827906,17167798272,1.002,0.00994365765291618,1,Low-Risk / Defensive / Stable,Technology
FDS,-0.00017940462893071475,15781692416,0.834,0.012232519994247333,1,Low-Risk / Defensive / Stable,Financial Services
FAST,-0.004315761357266654,54415355904,0.958,0.009725868401529893,1,Low-Risk / Defensive / Stable,Industrials
FRT,-0.00047009645004763553,8270259200,1.107,0.011277366289996866,1,Low-Risk / Defensive / Stable,Real Estate
FDX,-0.0013562046325434225,55790116864,1.356,0.015227418573471622,0,Aggressive / Underperforming,Industrials
FIS,-0.0026485472869534135,42909007872,1.073,0.011161156012141753,1,Low-Risk / Defensive / Stable,Technology
FITB,-0.0032307338999346077,28507879424,0.925,0.013114999330797348,1,Low-Risk / Defensive / Stable,Financial Services
FSLR,-0.0025847647745979117,19206328320,1.515,0.02546038400926729,0,Aggressive / Underperforming,Technology
FE,-0.0014190001062851232,23784771584,0.365,0.0080062712539485,1,Low-Risk / Defensive / Stable,Utilities
FI,-0.0008807417052349012,77138403328,0.915,0.014606206153606324,1,Low-Risk / Defensive / Stable,Technology
F,-0.00354230607728157,45273812992,1.501,0.016566951290436824,0,Aggressive / Underperforming,Consumer Cyclical
FTNT,9.893527446652034e-05,79924740096,1.063,0.017245767936898842,0,Aggressive / Underperforming,Technology
FTV,0.00011369827254455507,17418952704,1.069,0.010578406154477093,1,Low-Risk / Defensive / Stable,Technology
FOXA,0.0020809132779372698,24374286336,0.522,0.012804949478638144,1,Low-Risk / Defensive / Stable,Communication Services
FOX,0.002160032733274693,24391880704,0.522,0.012526929969033719,1,Low-Risk / Defensive / Stable,Communication Services
BEN,-0.0016730158588817697,12972485632,1.47,0.01808573490070747,0,Aggressive / Underperforming,Financial Services
FCX,-0.0038169889149889664,64528461824,1.642,0.016885388602552145,0,Aggressive / Underperforming,Basic Materials
GRMN,-0.00023290081745845251,44373000192,0.981,0.010579935287678801,1,Low-Risk / Defensive / Stable,Technology
IT,-0.0025419400453768493,27492575232,1.191,0.009284705752288305,1,Low-Risk / Defensive / Stable,Technology
GE,-0.0019130289409797913,278704848896,1.379,0.017926710750759224,0,Aggressive / Underperforming,Industrials
GEHC,-0.0014924735635074818,35444879360,1.289,0.012505723226276627,0,Aggressive / Underperforming,Healthcare
GEV,-5.895433307229233e-05,168965881856,1.7618162504629502,0.027386555354384445,0,Aggressive / Underperforming,Industrials
GEN,-0.002435028034534414,19090679808,1.006,0.014974450776454179,1,Low-Risk / Defensive / Stable,Technology
GNRC,-0.005308985391588098,9003445248,1.725,0.015574314381561814,0,Aggressive / Underperforming,Industrials
GD,-0.0029636795948513057,84941971456,0.472,0.008974157815589197,1,Low-Risk / Defensive / Stable,Industrials
GIS,0.0002940115252888334,27951314944,0.004,0.010204973246522033,1,Low-Risk / Defensive / Stable,Consumer Defensive
GM,-0.0022043130327333567,50475339776,1.323,0.02417552166190995,0,Aggressive / Underperforming,Consumer Cyclical
GPC,-0.0013637613131787909,18771857408,0.6376015183157329,0.013872456008079601,1,Low-Risk / Defensive / Stable,Consumer Cyclical
GILD,0.0017433476609208316,140501893120,0.307,0.011550762019312938,1,Low-Risk / Defensive / Stable,Healthcare
GPN,-0.001079794626919995,20517623808,0.945,0.011557788365881639,1,Low-Risk / Defensive / Stable,Industrials
GL,0.0007007598139281709,10255129600,0.561,0.012188094906176387,1,Low-Risk / Defensive / Stable,Financial Services
GDDY,0.0025343742082305065,24059099136,1.055,0.015309271428079288,0,Aggressive / Underperforming,Technology
GS,-0.0010313519932201073,217808011264,1.344,0.013197611191739414,0,Aggressive / Underperforming,Financial Services
HAL,-0.0027529069857337688,18978209792,1.365711708354959,0.01751569711683098,0,Aggressive / Underperforming,Energy
HIG,-0.0023674659874090643,34984443904,0.685,0.012339962474545465,1,Low-Risk / Defensive / Stable,Financial Services
HAS,-0.0031791192616629086,10759103488,0.58,0.016263084755848707,1,Low-Risk / Defensive / Stable,Consumer Cyclical
HCA,-0.0043737936558455445,85038096384,1.48,0.009995155423673754,0,Aggressive / Underperforming,Healthcare
DOC,-0.0009563823532730008,13224155136,1.006,0.013849521016504293,1,Low-Risk / Defensive / Stable,Real Estate
HSIC,0.00021262023135014798,9297871872,0.868,0.02112988082983899,0,Aggressive / Underperforming,Healthcare
HSY,-3.934062931796557e-05,37114011648,0.287,0.02661893641421434,1,Low-Risk / Defensive / Stable,Consumer Defensive
HPE,0.0006481343194429864,27320420352,1.364,0.029455377405745702,0,Aggressive / Underperforming,Technology
HLT,-0.0001681582752548359,63588319232,1.25,0.012088488656298654,0,Aggressive / Underperforming,Consumer Cyclical
HOLX,-0.002881879746819615,14691056640,0.555,0.009369536732679781,1,Low-Risk / Defensive / Stable,Healthcare
HD,-0.0014300834330396412,373862105088,1.004,0.01371249118162268,1,Low-Risk / Defensive / Stable,Consumer Cyclical
HON,-0.0004543397160787462,154465304576,1.063,0.01225897482642793,1,Low-Risk / Defensive / Stable,Industrials
HRL,0.002378031910993178,16268642304,0.33,0.012102939135048198,1,Low-Risk / Defensive / Stable,Consumer Defensive
HST,0.0010656100791118367,11710330880,1.332,0.016334737393808894,0,Aggressive / Underperforming,Real Estate
HWM,-0.0007950523739364291,74825007104,1.43,0.015973689168934498,0,Aggressive / Underperforming,Industrials
HPQ,-0.0036594576649635617,24228548608,1.291,0.028233536571935135,0,Aggressive / Underperforming,Technology
HUBB,-0.0013612919440444508,23168512000,0.981,0.014722561402891353,1,Low-Risk / Defensive / Stable,Industrials
HUM,-0.002650863856230317,28188356608,0.445,0.02975890693703978,1,Low-Risk / Defensive / Stable,Healthcare
HBAN,-0.002482815513634973,24619624448,0.952,0.014119912434135051,1,Low-Risk / Defensive / Stable,Financial Services
HII,-0.000573496707932438,10295162880,0.3,0.01585595961711309,1,Low-Risk / Defensive / Stable,Industrials
IBM,0.00232977672363124,265951592448,0.68,0.015092236302041769,1,Low-Risk / Defensive / Stable,Technology
IEX,-0.002829297774532282,13947799552,1.036,0.012944072691202329,1,Low-Risk / Defensive / Stable,Industrials
IDXX,-0.0005968878582653838,43198627840,1.54,0.014765862062520826,0,Aggressive / Underperforming,Healthcare
ITW,-0.0019737165976877924,77139132416,1.107,0.007937969567238473,1,Low-Risk / Defensive / Stable,Industrials
INCY,-0.0031300302289538943,13662171136,0.683,0.02472395065717628,1,Low-Risk / Defensive / Stable,Healthcare
IR,-0.004142396708203781,35077074944,1.428,0.01196111428893207,0,Aggressive / Underperforming,Industrials
PODD,0.00012151848074915272,20085698560,1.347,0.013536790269246129,0,Aggressive / Underperforming,Healthcare
ICE,-0.0013352463758346653,103743127552,1.119,0.009197835517520741,1,Low-Risk / Defensive / Stable,Financial Services
IFF,-0.00046551886861743037,19892787200,1.054,0.00841243091673495,1,Low-Risk / Defensive / Stable,Basic Materials
IP,-0.002251005887673929,28480313344,0.974,0.011275392313182163,1,Low-Risk / Defensive / Stable,Consumer Cyclical
IPG,0.0014840825323342113,9725879296,0.837966335327137,0.016159240087661737,1,Low-Risk / Defensive / Stable,Communication Services
INTU,-0.0030087915640481674,216133730304,1.277,0.02234077012129216,0,Aggressive / Underperforming,Technology
ISRG,-0.00035887826540465965,176472473600,1.647,0.011954456770811037,0,Aggressive / Underperforming,Healthcare
IVZ,-0.0003603665560215375,9474760704,1.5567998880469467,0.016141521537769918,0,Aggressive / Underperforming,Financial Services
INVH,-0.0015478992300659252,19865249792,0.799,0.009653287102481296,1,Low-Risk / Defensive / Stable,Real Estate
